LD1,satisfaction_satisfied
-0.4917759366077328,0
-1.0694909710473608,0
2.1168796382506274,1
-0.7737746952307801,0
1.5195797269392943,1
-1.5438789815761003,0
-2.0051377224405953,0
2.5585670976951564,1
-0.4297576461764966,0
-1.000046654844453,0
-0.4519610193500717,0
-1.7830645050652132,0
-2.1837116393308342,0
-0.5172051950280812,1
-1.9480699474203924,0
-1.812104005077539,0
1.6917351003056198,1
2.5812566472499587,1
2.031103371913909,1
-1.8949636355199464,0
-0.2258063950857666,0
-0.628411296502922,0
-1.1959282843841441,0
-1.232343727417852,0
0.06827691760702514,1
-0.7546422880492959,0
1.8884910006357138,1
0.2634632633873438,1
0.3062332148536959,0
-1.4079440804723737,0
2.007405224230873,1
-1.3123212901264858,0
1.2585423959978712,1
-0.17352709670002864,0
-1.3781016121301204,0
-1.3326783182462076,0
0.6331675693750809,0
-0.9576392019392543,0
-0.48747673903016897,1
-1.3658400528415013,0
2.1146780467357367,1
0.06748061209317757,0
1.8769992232040043,1
0.9785916012855713,1
1.5818942287930224,1
2.102687797786684,1
-0.43583690650907614,0
-0.3145958289207813,0
1.2533266604326108,1
-1.7242565907167733,0
-0.32661272124843965,0
1.7584833270655182,1
0.8556441248742758,1
-1.286891659980332,0
-1.1315882906991188,0
1.575909889677647,1
2.168977488376319,1
2.586832616198427,1
-1.3049687806625325,0
-0.8748870931943035,0
-1.3397518158396937,0
1.5495084715738465,1
-1.2474012035243098,0
2.1687877998111964,1
1.4062739527171475,1
2.2387688837519475,1
-1.4619451396310967,0
2.4031745589312115,1
-0.7312483675022065,0
0.5969466273197057,1
2.3689117251840903,1
0.04432125588164598,0
0.407231162618806,0
-1.4986760666959615,0
-1.4140421878981488,0
0.5457067461214858,1
-0.13417606003509963,0
-0.9394669821309614,1
-0.043518511976755825,0
-0.1368157616542771,0
1.2775669149412823,1
-0.8603489320423782,0
-0.36557880207593774,0
0.26860853673389273,1
1.9541577956780944,1
0.4471282147499313,1
0.04959226785602944,0
-0.6982601539293792,0
0.34822768439777013,1
-1.7983227420913859,0
-1.8913501336642828,1
0.11533877942188775,1
1.4948477703670813,0
1.024931405630759,1
-0.9713206222050946,1
1.4190556176893918,1
-1.2894209868856568,0
-1.3867831316691843,0
-2.0379436974691894,0
-0.49317682489395565,1
-1.3678588762688246,0
2.5265000873981642,1
-1.5110914412564411,0
-0.8930112288595556,0
1.0462693098049611,1
-2.016783785678198,0
-2.0668969547509217,0
-0.7771876484665465,0
-1.8943542593946825,0
-0.7884168896583809,0
2.212575236943468,1
1.4599686689253455,0
-1.5468659716940572,0
