LD1,satisfaction_satisfied
1.7597083387532704,1
1.5338921536932113,1
-0.9926656038510608,0
2.367008414556207,1
-1.5658267681687907,1
-1.4582605849977588,0
-1.3062052880384527,0
-0.8473814498073376,0
2.0677032390684356,1
2.461345645810498,1
0.8542153050822758,0
-1.1189358535654303,0
0.44062202405216916,1
-0.47941110370898016,0
-0.28184254091055544,0
2.009430062486001,1
1.9529302031495785,1
1.6040640160613349,1
-0.4865294686564412,0
1.4566703483524173,1
0.5753112102840664,1
1.0455834928635415,1
0.8230395962004604,0
1.6806505149549742,1
-0.7378581029474258,0
-1.856562023817688,0
1.3727795600996575,1
-1.0741004296005934,0
-0.36662583811878385,0
-1.0466621487125691,0
-0.15203859623611277,0
-2.593463178570075,0
0.3512303353641791,1
-2.076864268166355,0
1.6589173173386107,1
1.8533008347558948,1
0.09401834006316173,1
1.878337037645496,1
0.8707137969709727,1
-0.921397837817086,0
-1.1122389261217653,0
-0.49599213704144685,0
-1.798316448553814,0
2.4693246694836026,1
-0.08606755170101582,1
-1.3264435623095463,0
0.6084296457579844,1
-0.09738599155410854,0
0.49986219446583996,1
-1.3455979008832362,0
1.9688446880506172,1
-0.26103802667544035,0
0.5590643819453451,1
2.3869746831563696,1
-0.4966637403137464,0
2.1898227046544148,1
2.3449682568750383,1
-1.0019272938321067,0
-0.7266002436600989,0
1.5569971664162168,1
1.4752713714732757,1
-1.534584738339538,0
-2.5040873492361615,0
-1.250760889474512,1
-1.9665211961117444,0
-0.47404802198466994,0
-1.2270109149835335,0
1.529550375660524,1
1.854091828634153,1
-0.23547970170387372,0
0.8938515077607625,1
0.06688437914255174,0
1.8667404823165794,1
-0.15218597895452307,0
1.9495329785104798,0
-0.5487496301687564,0
1.3048401368852545,1
2.2115971281967726,1
1.361231745357674,1
2.8166457855528817,1
2.1123843297574467,1
1.7460580917733173,0
2.246816344785655,1
0.552651960356556,1
-0.07984229953083549,0
-1.5071492249097065,0
0.20011114656694157,0
-1.7097591721738645,0
0.07295329477503876,0
-1.4944459923963325,0
-0.9253450138041462,0
-0.37433541312898344,0
1.8085957849349201,1
1.54200329573952,1
1.546804931198238,1
-1.1131846035095687,0
1.8884020824873902,1
-0.5548789394854343,0
-1.9904090911529508,0
-1.1617958373049817,0
-0.4312214494889591,0
1.3382457606270233,1
-0.9579863522509544,0
-1.0892004332683465,0
1.8785182328441632,1
2.1592728886675547,1
-0.31456734000534053,0
-1.947749000039937,0
1.0004924175852863,1
-0.5736875804834458,1
0.2863481427448314,1
-2.5999681760216857,0
1.4547849029980355,1
-2.792138682619388,0
-1.3797158969108752,0
1.023141597422714,1
-0.28934857018706195,0
-0.5294481445315866,0
-1.3380120951341765,0
1.5901745170608266,1
-1.6149383070447347,0
2.132519665122152,1
0.32256582710632986,0
0.462384391066815,1
2.6242972844073953,1
0.15100434534600482,0
0.31651674650295686,0
0.28111175005830896,0
-0.2378739785721406,0
0.20809652891496766,0
-0.005629183603482968,0
-0.8517430341731523,1
-0.7382512927973532,0
2.4859780777214255,1
0.4580030651556559,0
-0.662090764620053,0
1.7633416545995815,1
1.1823764440013103,1
1.3117914128438881,1
2.4880741888158253,1
-0.6755083224766932,1
-1.490373620820525,0
0.3673865589145179,0
2.6725017654556464,1
-3.16499379801856,0
